key,title,artifacts
conf/asplos/AbadalCAT16,WiSync: An Architecture for Fast Synchronization through On-Chip Wireless Communication.,
conf/asplos/AwadMHSH16,Silent Shredder: Zero-Cost Shredding for Secure Non-Volatile Main Memory Controllers.,
conf/asplos/BornholtKLKTW16,Specifying and Checking File System Crash-Consistency Models.,http://sandcat.cs.washington.edu/ferrite
conf/asplos/FanZL16,The Computational Sprinting Game.,
conf/asplos/KimKBNW16,NVWAL: Exploiting NVRAM in Write-Ahead Logging.,
conf/asplos/LinCLMHXS16,Scalable Kernel TCP Design and Implementation for Short-Lived Connections.,https://github.com/fastos/fastsocket
conf/asplos/MaoCXS16,RID: Finding Reference Count Bugs with Inconsistent Path Pair Checking.,
conf/asplos/McKinley16,Programming Uncertain &lt;T&gt;jhings.,
conf/asplos/Williams16,Brain Inspired Computing.,
conf/asplos/Witchel16,Programmer Productivity in a World of Mushy Interfaces: Challenges of the Post-ISA Reality.,
conf/iccad/AbusultanK16,A flash-based digital circuit design flow.,
conf/iccad/BatselierCLW16,A tensor-based volterra series black-box nonlinear system identification and simulation framework.,
conf/iccad/ChenS16,A new tightly-coupled transient electro-thermal simulation method for power electronics.,
conf/iccad/HuangLKN16,Overview of the 2016 CAD contest at ICCAD.,
conf/iccad/KannanS16,Performance driven routing for modern FPGAs.,
conf/iccad/KuDMRL16,How much cost reduction justifies the adoption of monolithic 3D ICs at 7nm node?,
conf/iccad/PattisonAAGV16,GPlace: a congestion-aware placement tool for ultrascale FPGAs.,
conf/iccad/PeanoRGNB16,Design technology for fault-free and maximally-parallel wavelength-routed optical networks-on-chip.,
conf/iccad/SinhaZHRBC16,Generation and use of statistical timing macro-models considering slew and load variability.,
conf/iccad/Topaloglu16,ICCAD-2016 CAD contest in pattern classification for integrated circuit design space analysis and benchmark suite.,
conf/icml/GaoLZ16,Exact Exponent in Optimal Rates for Crowdsourcing.,
conf/icml/KawakitaT16,Barron and Cover's Theory in Supervised Learning and its Application to Lasso.,
conf/icml/MnihR16,Variational Inference for Monte Carlo Objectives.,
conf/icml/NatarajanKRD16,Optimal Classification with Multivariate Losses.,
conf/icml/PuleoM16,Correlation Clustering and Biclustering with Locally Bounded Errors.,
conf/icml/Shalev-Shwartz16,"SDCA without Duality, Regularization, and Individual Convexity.",
